"_id","_rev","roomRef","joined","LPG_MQ9_Level","CH4_MQ9_Level","CO_MQ9_Level","CO_MQ135_Level","Alcool_MQ135_Level","CO2_MQ135_Level","Toluen_MQ135_Level","MH4_MQ135_Level","Aceton_MQ135_Level","O3_MQ131_Level","Temperatura_Level","Humidade_Level","QualityAirConcept","CO_MQ9_Level_IQAR","CO_MQ135_Level_IQAR","O3_MQ131_Level_IQAR","CalcHeatIndex","TargetConcept"
"00a23317-4d3e-4bb1-aa7c-58e47fa78815","2-d39b503191c0f8c4a0309bc3060c7778","sensor_001-room:001","01/03/24,12:00",3.67,4.79,1.9,2559.19,247.59,315.12,158.73,252.82,119.07,5.22,,,"Péssima",8.88888888888889,400,2,,"Não encontrado"
"0306cfce-85f1-4aa9-922a-fca0581c7b75","2-d93492df89cf6fc70a7369eb6cf5752c","sensor_002-room:002","29/02/24,12:34",2.95,3.68,1.52,124.5,21.54,35,11.27,37.85,8.96,5.63,29.8,75,"Péssima",8.88888888888889,400,2.4000000000000004,35.757227789305055,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"044eaf20-6f0b-4792-a602-7015d88c02a4","2-b4b67b0083d85945fffc4550f68063b0","sensor_001-room:001","01/03/24,18:09",5.8,8.33,3.03,5668.54,470.65,561.74,318.32,416.63,235.15,4.78,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"04e61b8e-f1d1-4b09-b22b-5c6fb83ace1e","1-1dbf136cbeb560764756335e4b8cddc0","sensor_001-room:001","01/03/24,11:50",4.88,6.77,2.54,4.53,1.48,3.15,0.62,4.72,0.53,5.22,,,"Boa",13.333333333333334,22.22222222222222,2,,"Não encontrado"
"05f7bc26-6a21-429f-b190-2c5dd1ce4f4a","2-8e5cf6cce93fd780a0affde1e47e2f9e","sensor_001-room:001","01/03/24,17:59",5.38,7.62,2.81,4696.85,404.33,489.97,270.03,370.21,200.2,4.68,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"0757ea90-1d8b-4502-bb08-55ca308e2862","2-29ca8db8d97fc9d8a4b98ede53243022","sensor_001-room:001","01/03/24,12:41",9.64,15.43,5.11,27722256,449440.12,270094.03,538486.19,86534.93,337619.59,4.46,,,"Péssima",22.22222222222222,400,1.6,,"Não encontrado"
"07dd7f9f-b944-416b-8845-0b4aa7e9e09e","1-2c70ad18f291b3070fe75eb942f3035c","sensor_002-room:002","29/02/24,15:28",8.03,12.36,4.23,2.64,0.96,2.12,0.39,3.36,0.33,5.21,31.3,73,"Boa",17.77777777777778,13.333333333333334,2,39.40094385767382,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"09996705-954d-45e0-9c14-efd80bc40c1a","2-558d3594f818b1f37fa1d2f99ee408e8","sensor_001-room:001","01/03/24,16:12",3.1,3.9,1.59,3888.16,347.1,427.09,228.88,328.78,170.31,4.23,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"09e68d4d-a208-4e20-b494-1aedc48c3174","2-fd6ecd3220600549d70ee7c473b3d287","sensor_001-room:001","01/03/24,17:33",5.26,7.41,2.74,3895.77,347.65,427.7,229.27,329.18,170.59,4.62,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"0bcc5978-d9ff-49e4-aae2-83e682a58d45","1-78862cc85591a588b3b7f29baa63312e","sensor_002-room:002","29/02/24,14:37",7.12,10.69,3.74,1.99,0.76,1.73,0.3,2.82,0.26,4.93,30.8,74,"Boa",17.77777777777778,8.88888888888889,2,38.26408044994723,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
